[22-Aug-2011 13:53:14] PHP Parse error:  syntax error, unexpected ':' in /Users/sebbe/www/cloudlib/lib/classes/core.class.php on line 65
[22-Aug-2011 13:53:54] PHP Parse error:  syntax error, unexpected '{' in /Users/sebbe/www/cloudlib/lib/classes/dispatcher.class.php on line 59
[22-Aug-2011 13:56:12] PHP Fatal error:  Call to undefined method router::§uri() in /Users/sebbe/www/cloudlib/lib/classes/core.class.php on line 65
[22-Aug-2011 14:42:29] PHP Parse error:  syntax error, unexpected ';' in /Users/sebbe/www/cloudlib/lib/classes/config.class.php on line 69
[22-Aug-2011 14:42:31] PHP Parse error:  syntax error, unexpected ';' in /Users/sebbe/www/cloudlib/lib/classes/config.class.php on line 69
[22-Aug-2011 23:32:27] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/sebbe/www/cloudlib/lib/classes/security.class.php on line 61
[23-Aug-2011 14:15:11] PHP Fatal error:  Call to undefined method image::error() in /Users/sebbe/www/cloudlib/app/views/index.php on line 20
[23-Aug-2011 14:43:22] PHP Fatal error:  Class 'resizeimage' not found in /Users/sebbe/www/cloudlib/lib/classes/core.class.php on line 110
[23-Aug-2011 14:44:16] PHP Fatal error:  Class 'resizeimage' not found in /Users/sebbe/www/cloudlib/lib/classes/core.class.php on line 110
[23-Aug-2011 15:22:27] PHP Fatal error:  Call to a member function ex() on a non-object in /Users/sebbe/www/cloudlib/app/views/index.php on line 22
[23-Aug-2011 20:33:42] PHP Fatal error:  Call to undefined method query::ex() in /Users/sebbe/www/cloudlib/app/views/index.php on line 22
[23-Aug-2011 20:35:55] PHP Fatal error:  Call to undefined method query::fetchAll() in /Users/sebbe/www/cloudlib/app/views/index.php on line 24
[23-Aug-2011 20:36:57] PHP Fatal error:  Call to undefined method database::fetchAll() in /Users/sebbe/www/cloudlib/lib/classes/query.class.php on line 127
[23-Aug-2011 20:37:54] PHP Fatal error:  Call to undefined function fetchAll() in /Users/sebbe/www/cloudlib/lib/classes/query.class.php on line 128
[23-Aug-2011 22:04:28] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /Users/sebbe/www/cloudlib/lib/classes/query.class.php on line 166
